#lambda        omega_log          T_c
   2.13916      1320.283            139.506
   1.83105      1305.123            116.608
   1.64598      1304.711            101.628
   1.51057      1307.306             89.725
   1.41174      1309.515             80.393
   1.34367      1310.744             73.624
   1.30348      1310.437             69.456
   1.28706      1308.299             67.628
   1.28838      1304.486             67.568
   1.30139      1299.529             68.662
