#lambda        omega_log          T_c
   1.81616      1433.254            126.806
   1.64901      1429.674            111.645
   1.53078      1425.159             99.853
   1.42870      1420.361             89.004
   1.34868      1414.608             80.010
   1.29270      1406.473             73.337
   1.26153      1394.091             69.194
   1.25213      1377.340             67.311
   1.25921      1356.762             67.087
   1.27720      1334.749             67.938
