#lambda        omega_log          T_c
   0.93664      2024.197             45.438
   0.96926      1815.933             45.665
   1.01756      1800.708             52.591
   1.03530      1821.086             55.921
   1.04175      1841.726             57.562
   1.05630      1854.780             60.259
   1.09132      1854.635             65.766
   1.14667      1837.801             73.763
   1.21545      1807.695             82.913
   1.28962      1768.287             91.768
