#lambda        omega_log          T_c
   2.03353      1078.572            108.315
   1.68628      1090.870             87.818
   1.49916      1099.515             74.567
   1.37361      1104.195             64.583
   1.29077      1104.628             57.427
   1.24151      1098.703             52.743
   1.22233      1084.546             50.359
   1.22768      1062.209             49.789
   1.25039      1034.333             50.402
   1.28325      1004.494             51.616
