#  E (eV)   dos(E)     Int dos(E) EFermi =   17.647 eV
  -7.986  0.6478E-02  0.1242E-02
  -7.976  0.6773E-02  0.1310E-02
  -7.966  0.7078E-02  0.1381E-02
  -7.956  0.7392E-02  0.1455E-02
  -7.946  0.7717E-02  0.1532E-02
  -7.936  0.8052E-02  0.1612E-02
  -7.926  0.8398E-02  0.1696E-02
  -7.916  0.8753E-02  0.1784E-02
  -7.906  0.9120E-02  0.1875E-02
  -7.896  0.9497E-02  0.1970E-02
  -7.886  0.9885E-02  0.2069E-02
  -7.876  0.1028E-01  0.2172E-02
  -7.866  0.1069E-01  0.2279E-02
  -7.856  0.1111E-01  0.2390E-02
  -7.846  0.1155E-01  0.2505E-02
  -7.836  0.1199E-01  0.2625E-02
  -7.826  0.1244E-01  0.2749E-02
  -7.816  0.1291E-01  0.2879E-02
  -7.806  0.1338E-01  0.3012E-02
  -7.796  0.1387E-01  0.3151E-02
  -7.786  0.1437E-01  0.3295E-02
  -7.776  0.1488E-01  0.3444E-02
  -7.766  0.1540E-01  0.3598E-02
  -7.756  0.1593E-01  0.3757E-02
  -7.746  0.1647E-01  0.3922E-02
  -7.736  0.1703E-01  0.4092E-02
  -7.726  0.1759E-01  0.4268E-02
  -7.716  0.1817E-01  0.4449E-02
  -7.706  0.1875E-01  0.4637E-02
  -7.696  0.1935E-01  0.4830E-02
  -7.686  0.1995E-01  0.5030E-02
  -7.676  0.2057E-01  0.5236E-02
  -7.666  0.2120E-01  0.5448E-02
  -7.656  0.2183E-01  0.5666E-02
  -7.646  0.2248E-01  0.5891E-02
  -7.636  0.2313E-01  0.6122E-02
  -7.626  0.2380E-01  0.6360E-02
  -7.616  0.2447E-01  0.6605E-02
  -7.606  0.2515E-01  0.6856E-02
  -7.596  0.2584E-01  0.7115E-02
  -7.586  0.2654E-01  0.7380E-02
  -7.576  0.2725E-01  0.7653E-02
  -7.566  0.2797E-01  0.7932E-02
  -7.556  0.2869E-01  0.8219E-02
  -7.546  0.2942E-01  0.8513E-02
  -7.536  0.3016E-01  0.8815E-02
  -7.526  0.3090E-01  0.9124E-02
  -7.516  0.3166E-01  0.9441E-02
  -7.506  0.3241E-01  0.9765E-02
  -7.496  0.3318E-01  0.1010E-01
  -7.486  0.3395E-01  0.1044E-01
  -7.476  0.3472E-01  0.1078E-01
  -7.466  0.3550E-01  0.1114E-01
  -7.456  0.3629E-01  0.1150E-01
  -7.446  0.3707E-01  0.1187E-01
  -7.436  0.3787E-01  0.1225E-01
  -7.426  0.3867E-01  0.1264E-01
  -7.416  0.3947E-01  0.1303E-01
  -7.406  0.4027E-01  0.1343E-01
  -7.396  0.4108E-01  0.1385E-01
  -7.386  0.4189E-01  0.1426E-01
  -7.376  0.4270E-01  0.1469E-01
  -7.366  0.4351E-01  0.1513E-01
  -7.356  0.4433E-01  0.1557E-01
  -7.346  0.4514E-01  0.1602E-01
  -7.336  0.4596E-01  0.1648E-01
  -7.326  0.4678E-01  0.1695E-01
  -7.316  0.4760E-01  0.1742E-01
  -7.306  0.4842E-01  0.1791E-01
  -7.296  0.4924E-01  0.1840E-01
  -7.286  0.5006E-01  0.1890E-01
  -7.276  0.5088E-01  0.1941E-01
  -7.266  0.5169E-01  0.1993E-01
  -7.256  0.5251E-01  0.2045E-01
  -7.246  0.5333E-01  0.2099E-01
  -7.236  0.5414E-01  0.2153E-01
  -7.226  0.5495E-01  0.2208E-01
  -7.216  0.5576E-01  0.2263E-01
  -7.206  0.5657E-01  0.2320E-01
  -7.196  0.5738E-01  0.2377E-01
  -7.186  0.5818E-01  0.2436E-01
  -7.176  0.5898E-01  0.2495E-01
  -7.166  0.5978E-01  0.2554E-01
  -7.156  0.6057E-01  0.2615E-01
  -7.146  0.6136E-01  0.2676E-01
  -7.136  0.6215E-01  0.2738E-01
  -7.126  0.6293E-01  0.2801E-01
  -7.116  0.6371E-01  0.2865E-01
  -7.106  0.6449E-01  0.2930E-01
